source_id,source_name,lat,lon,total_co2_emissions_2025,source,year,total_capacity_2025,total_activity_2025,activity_units,capacity_units
477,TALCHER STPS,21.0966,85.074,19123180,Central Electricity Authority,Nov-25,3000,20004.87,GWh,MW
478,TALWANDI SABO,29.924,75.2372,9276654,Central Electricity Authority,Nov-25,1980,10230.94,GWh,MW
479,TAMNAR TPP,22.0987,83.4513,16383683,Central Electricity Authority,Nov-25,2400,18026.67,GWh,MW
481,TANDA,26.586,82.602,9721603,Central Electricity Authority,Nov-25,1760,9916.42,GWh,MW
492,TENUGHAT,23.7573,85.8936,2197007,Central Electricity Authority,Nov-25,420,2022.84,GWh,MW
493,THAMMINAPATNAM TPP,14.2133,80.0838,304949,Central Electricity Authority,Nov-25,300,230.39,GWh,MW
497,TIRORA TPP,21.4129,79.9671,18744810,Central Electricity Authority,Nov-25,3300,20391.59,GWh,MW
499,TORANGALLU EXT,15.1839,76.6622,2360661,Central Electricity Authority,Nov-25,600,2602.98,GWh,MW
500,TORANGALLU IMP,15.1839,76.6622,1312155,Central Electricity Authority,Nov-25,260,1481.78,GWh,MW
501,TORR POWER SAB.,23.0701,72.5933,2330654,Central Electricity Authority,Nov-25,362,2358.15,GWh,MW
503,TROMBAY GT,19.0018,72.8967,601001,Central Electricity Authority,Nov-25,180,1438.76,GWh,MW
504,TROMBAY_Coal,19.0004,72.8983,2765167,Central Electricity Authority,Nov-25,750,2981.63,GWh,MW
507,TUTICORIN,8.7635,78.1753,5872752,Central Electricity Authority,Nov-25,1050,5389.82,GWh,MW
509,TUTICORIN JV,8.7603,78.1699,5056729,Central Electricity Authority,Nov-25,1000,4848.12,GWh,MW
510,TUTICORIN JV  Stage-IV,8.75531057,78.15803095,2614247,Central Electricity Authority,Nov-25,525,2858,GWh,MW
513,UCHPINDA TPP,21.8858,83.1215,7325048,Central Electricity Authority,Nov-25,1440,6897.13,GWh,MW
514,UDUPI TPP,13.1596,74.8002,4502929,Central Electricity Authority,Nov-25,1200,5091.01,GWh,MW
517,UKAI_Coal,21.2093,73.5574,5288919,Central Electricity Authority,Nov-25,1110,5222.14,GWh,MW
521,UNCHAHAR,25.9131,81.3274,9551800,Central Electricity Authority,Nov-25,1550,8907.53,GWh,MW
522,UNO SUGEN,21.3411,72.9895,246248,Central Electricity Authority,Nov-25,382.5,662.2,GWh,MW
527,URAN GT,18.88,72.9715,1092409,Central Electricity Authority,Nov-25,672,2410.93,GWh,MW
531,UTRAN CCCP EXT,21.2285,72.8705,127414,Central Electricity Authority,Nov-25,374,305.25,GWh,MW
533,UTRAULA TPP,27.3455,82.3166,406567,Central Electricity Authority,Nov-25,90,338.65,GWh,MW
537,VALLUR ntpc/ntecl,13.2371,80.3023,7898904,Central Electricity Authority,Nov-25,1500,7997.94,GWh,MW
538,VALUTHUR GT,9.3484,78.9235,439469,Central Electricity Authority,Nov-25,186.2,890.64,GWh,MW
542,VIJAYWADA,16.5984,80.537,13920220,Central Electricity Authority,Nov-25,2060,13159.87,GWh,MW
544,VINDH_CHAL STPS,24.0983,82.6719,32996108,Central Electricity Authority,Nov-25,4760,33983.21,GWh,MW
547,VIZAG TPP,17.5635,83.1382,3617447,Central Electricity Authority,Nov-25,1040,3643.33,GWh,MW
548,WANAKBORI,22.8725,73.3588,10601092,Central Electricity Authority,Nov-25,2270,9320.91,GWh,MW
549,WARDHA WARORA(Sai Wardha Power),20.2727,78.9792,3723115,Central Electricity Authority,Nov-25,540,3522.31,GWh,MW
552,YAMUNANAGAR TPP,30.1081,77.3257,2926725,Central Electricity Authority,Nov-25,600,3038.76,GWh,MW
554,YERMARUS TPP,16.2949,77.3568,5173693,Central Electricity Authority,Nov-25,1600,5434.7,GWh,MW
556,JAWAHARPUR STPP,27.497098,78.826071,1871426,Central Electricity Authority,Nov-25,1320,2115.01,GWh,MW
558,NORTH KARANPURA,23.850772,85.012411,8703416,Central Electricity Authority,Nov-25,1320,9148.07,GWh,MW
559,OBRA-C STPP,24.4445803,82.9803325,2287261,Central Electricity Authority,Nov-25,660,2540.64,GWh,MW
560,SHREE CEMENT,26.073889,74.385,1273202,Central Electricity Authority,Nov-25,300,1306.4,GWh,MW
564,TELANGANA STPP,18.75146,79.471916,8384675,Central Electricity Authority,Nov-25,1600,9691.9,GWh,MW
567,OPG POWER GENERATION PRIVATE,13.437422,80.09788,2427370,Central Electricity Authority,Nov-25,414,2117.29,GWh,MW
569,YADADRI TPS,16.708219,79.581184,492634,Central Electricity Authority,Nov-25,800,455.15,GWh,MW
570,GHATAMPUR TPP,25.975,80.1889,884777,Central Electricity Authority,Nov-25,660,981.32,GWh,MW
571,KHURJA STPP,28.158333,77.908333,717110,Central Electricity Authority,Nov-25,660,815.68,GWh,MW
572,Maadurga Thermal Power Company Ltd.,20.57622,86.020728,272965,Central Electricity Authority,Nov-25,60,175.81,GWh,MW
573,YELHANKA CCPP,13.117556,77.581875,117086,Central Electricity Authority,Nov-25,370.05,298.13,GWh,MW
