source_id,source_name,lat,lon,total_co2_emissions_2025,total_activity_2025,activity_units,emissions_factor_2025,emissions_factor_units,total_capacity_2025,capacity_units,capacity_factor_2025,year,source
42547331,RCCPL Maihar Cement Plant,24.16716932,80.69526802,1411638.932,2780732.653,t of cement,0.50765,t of CO2 per t of cement,4998839.733,t of cement,0.556600345,2025,Climate Trace
42547340,Purbachal Cement Sarutari Cement Plant,26.06155528,91.88283984,318963.6609,405986.9674,t of cement,0.78565,t of CO2 per t of cement,729830.6011,t of cement,0.556600345,2025,Climate Trace
42547359,Shree Cement Guntur Cement Plant,16.52004884,79.73169393,846983.3589,1668439.592,t of cement,0.50765,t of CO2 per t of cement,2999303.84,t of cement,0.556600345,2025,Climate Trace
42547363,Shree Cement Nawalgarh Cement Plant,27.79138198,75.33287077,988147.2521,1946512.857,t of cement,0.50765,t of CO2 per t of cement,3499187.814,t of cement,0.556600345,2025,Climate Trace
42547376,Dhandapani Thathamangalam Cement Plant,10.94458726,78.73243665,124094.9914,182694.1353,t of cement,0.67925,t of CO2 per t of cement,328423.7705,t of cement,0.556600345,2025,Climate Trace
42547380,Chettinad Cement Dachepalli Cement Plant,16.54450066,79.75872953,917566.6959,1167907.714,t of cement,0.78565,t of CO2 per t of cement,2099512.688,t of cement,0.556600345,2025,Climate Trace
42547381,Ramco Cements Kalavatala Cement Plant,15.07975836,78.13920316,566643.7965,834219.796,t of cement,0.67925,t of CO2 per t of cement,1499651.92,t of cement,0.556600345,2025,Climate Trace
42547386,Kakatiya Cement Dondapadu Cement Plant,17.18564518,80.56474874,129770.147,165175.5196,t of cement,0.78565,t of CO2 per t of cement,296931.0801,t of cement,0.556600345,2025,Climate Trace
42547391,UltraTech Pali Cement Plant,26.25891888,74.09408458,931681.6948,1835283.551,t of cement,0.50765,t of CO2 per t of cement,3299234.224,t of cement,0.556600345,2025,Climate Trace
42547394,Vijay Puthanampatti Cement Plant,11.04549529,78.7090775,47189.14436,60063.82531,t of cement,0.78565,t of CO2 per t of cement,107974.9382,t of cement,0.556600345,2025,Climate Trace
42547427,Jeppiaar Alathur Cement Plant,11.18749062,79.05285768,71766.82371,91347.06766,t of cement,0.78565,t of CO2 per t of cement,164211.8853,t of cement,0.556600345,2025,Climate Trace
42547432,RNB Cements Umiam Cement Plant,25.66426359,91.91083297,143030.0206,243592.1804,t of cement,0.58717,t of CO2 per t of cement,437898.3607,t of cement,0.556600345,2025,Climate Trace
42547435,ACC Ametha Cement Plant,24.0094084,80.52875334,282327.7863,556146.5307,t of cement,0.50765,t of CO2 per t of cement,999767.9467,t of cement,0.556600345,2025,Climate Trace
42547436,Srikalahasthi Rachagunneri Cement Plant,13.71742947,79.62755907,29389.73026,50053.18776,t of cement,0.58717,t of CO2 per t of cement,89979.1152,t of cement,0.556600345,2025,Climate Trace
